School,Dept,Major,no. of Students,year,semester name,slot no,semester number
SoB,BBA,BBA - General Management,17,2015,Autumn,2,3
SoB,BBA,BBA - Human Resources Management,31,2015,Autumn,2,3
SoB,BBA,BBA - International Business,23,2015,Autumn,2,3
SoB,BBA,BBA - Management Information Systems,2,2015,Autumn,2,3
SoB,BBA,BBA - Marketing,63,2015,Autumn,2,3
SLASS,MED,BSS - Media and Communication,7,2015,Autumn,2,3
SLS,SLS,BSc - Biochemistry,2,2015,Autumn,2,3
SECS,CSE,BSc - Computer Engineering,4,2015,Autumn,2,3
SECS,CSE,BSc - Computer Science,1,2015,Autumn,2,3
SECS,CSE,BSc - Computer Science and Engineering,71,2015,Autumn,2,3
SoB,ECO,BSc - Economics,7,2015,Autumn,2,3
SECS,EEE,BSc - Electrical and Electronic Engineering,27,2015,Autumn,2,3
SECS,EEE,BSc - Electronic and Telecommunication Engineering,8,2015,Autumn,2,3
SESM,EMgt,BSc - Environmental Science,5,2015,Autumn,2,3
SLS,SLS,BSc - Microbiology,3,2015,Autumn,2,3
SLASS,LAW,LLB - Laws (Hons),5,2015,Autumn,2,3
SLASS,Eng,BA - English Language Teaching,10,2016,Spring,1,1
SLASS,Eng,BA - English Literature,20,2016,Spring,1,1
SoB,BBA,BBA - Accounting,108,2016,Spring,1,1
SoB,BBA,BBA - Finance,136,2016,Spring,1,1
SoB,BBA,BBA - General Management,37,2016,Spring,1,1
SoB,BBA,BBA - Human Resources Management,47,2016,Spring,1,1
SoB,BBA,BBA - International Business,30,2016,Spring,1,1
SoB,BBA,BBA - Investment Management,5,2016,Spring,1,1
SoB,BBA,BBA - Management Information Systems,16,2016,Spring,1,1
SoB,BBA,BBA - Marketing,95,2016,Spring,1,1
SLASS,MED,BSS - Media and Communication,19,2016,Spring,1,1
SLS,SLS,BSc - Biochemistry,5,2016,Spring,1,1
SECS,CSE,BSc - Computer Engineering,4,2016,Spring,1,1
SECS,CSE,BSc - Computer Science,8,2016,Spring,1,1
SECS,CSE,BSc - Computer Science and Engineering,167,2016,Spring,1,1
SoB,ECO,BSc - Economics,11,2016,Spring,1,1
SECS,EEE,BSc - Electrical and Electronic Engineering,45,2016,Spring,1,1
SECS,EEE,BSc - Electronic and Telecommunication Engineering,13,2016,Spring,1,1
SESM,ESc,BSc - Environmental Management,1,2016,Spring,1,1
SESM,EMgt,BSc - Environmental Science,7,2016,Spring,1,1
SLS,SLS,BSc - Microbiology,24,2016,Spring,1,1
SESM,POP,BSc - Population Environment,1,2016,Spring,1,1
SLASS,LAW,LLB - Laws (Hons),13,2016,Spring,1,1
SLASS,Eng,BA - English Language Teaching,6,2016,Spring,2,1
SLASS,Eng,BA - English Literature,8,2016,Spring,2,1
SoB,BBA,BBA - Accounting,69,2016,Spring,2,1
SoB,BBA,BBA - Finance,61,2016,Spring,2,1
SoB,BBA,BBA - General Management,21,2016,Spring,2,1
SoB,BBA,BBA - Human Resources Management,30,2016,Spring,2,1
SoB,BBA,BBA - International Business,28,2016,Spring,2,1
SoB,BBA,BBA - Investment Management,3,2016,Spring,2,1
SoB,BBA,BBA - Management Information Systems,9,2016,Spring,2,1
SoB,BBA,BBA - Marketing,34,2016,Spring,2,1
SLASS,SOC,BSS - Anthropology,1,2016,Spring,2,1
SLASS,MED,BSS - Media and Communication,9,2016,Spring,2,1
SLASS,SOC,BSS - Sociology,1,2016,Spring,2,1
SLS,SLS,BSc - Biochemistry,5,2016,Spring,2,1
SECS,CSE,BSc - Computer Engineering,2,2016,Spring,2,1
SECS,CSE,BSc - Computer Science,3,2016,Spring,2,1
SECS,CSE,BSc - Computer Science and Engineering,139,2016,Spring,2,1
SoB,ECO,BSc - Economics,6,2016,Spring,2,1
SECS,EEE,BSc - Electrical and Electronic Engineering,50,2016,Spring,2,1
SECS,EEE,BSc - Electronic and Telecommunication Engineering,14,2016,Spring,2,1
SESM,ESc,BSc - Environmental Management,7,2016,Spring,2,1
SESM,EMgt,BSc - Environmental Science,1,2016,Spring,2,1
SECS,PhySci,BSc - Mathematics (Hons),1,2016,Spring,2,1
SLS,SLS,BSc - Microbiology,10,2016,Spring,2,1
SLASS,LAW,LLB - Laws (Hons),6,2016,Spring,2,1
SLASS,Eng,BA - English Language Teaching,6,2016,Summer,1,2
SLASS,Eng,BA - English Literature,13,2016,Summer,1,2
SoB,BBA,BBA - Accounting,69,2016,Summer,1,2
SoB,BBA,BBA - Finance,102,2016,Summer,1,2
SoB,BBA,BBA - General Management,32,2016,Summer,1,2
SoB,BBA,BBA - Human Resources Management,32,2016,Summer,1,2
SoB,BBA,BBA - International Business,30,2016,Summer,1,2
SoB,BBA,BBA - Management Information Systems,3,2016,Summer,1,2
SoB,BBA,BBA - Marketing,69,2016,Summer,1,2
SLASS,SOC,BSS - Anthropology,1,2016,Summer,1,2
SLASS,MED,BSS - Media and Communication,10,2016,Summer,1,2
SLASS,SOC,BSS - Sociology,1,2016,Summer,1,2
SLS,SLS,BSc - Biochemistry,12,2016,Summer,1,2
SECS,CSE,BSc - Computer Science,9,2016,Summer,1,2
SECS,CSE,BSc - Computer Science and Engineering,161,2016,Summer,1,2
SoB,ECO,BSc - Economics,14,2016,Summer,1,2
SECS,EEE,BSc - Electrical and Electronic Engineering,35,2016,Summer,1,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,9,2016,Summer,1,2
SESM,ESc,BSc - Environmental Management,3,2016,Summer,1,2
SESM,EMgt,BSc - Environmental Science,6,2016,Summer,1,2
SECS,PhySci,BSc - Mathematics (Hons),2,2016,Summer,1,2
SLS,SLS,BSc - Microbiology,13,2016,Summer,1,2
SESM,POP,BSc - Population Environment,2,2016,Summer,1,2
SLASS,LAW,LLB - Laws (Hons),9,2016,Summer,1,2
SLASS,Eng,BA - English Language Teaching,7,2016,Summer,2,2
SLASS,Eng,BA - English Literature,2,2016,Summer,2,2
SoB,BBA,BBA - Accounting,66,2016,Summer,2,2
SoB,BBA,BBA - Finance,58,2016,Summer,2,2
SoB,BBA,BBA - General Management,15,2016,Summer,2,2
SoB,BBA,BBA - Human Resources Management,19,2016,Summer,2,2
SoB,BBA,BBA - International Business,29,2016,Summer,2,2
SoB,BBA,BBA - Management Information Systems,5,2016,Summer,2,2
SoB,BBA,BBA - Marketing,66,2016,Summer,2,2
SLASS,SOC,BSS - Anthropology,2,2016,Summer,2,2
SLASS,MED,BSS - Media and Communication,9,2016,Summer,2,2
SLASS,SOC,BSS - Sociology,1,2016,Summer,2,2
SLS,SLS,BSc - Biochemistry,4,2016,Summer,2,2
SECS,CSE,BSc - Computer Engineering,1,2016,Summer,2,2
SECS,CSE,BSc - Computer Science,7,2016,Summer,2,2
SECS,CSE,BSc - Computer Science and Engineering,108,2016,Summer,2,2
SoB,ECO,BSc - Economics,5,2016,Summer,2,2
SECS,EEE,BSc - Electrical and Electronic Engineering,27,2016,Summer,2,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,7,2016,Summer,2,2
SESM,ESc,BSc - Environmental Management,2,2016,Summer,2,2
SESM,EMgt,BSc - Environmental Science,3,2016,Summer,2,2
SLS,SLS,BSc - Microbiology,8,2016,Summer,2,2
SECS,PhySci,BSc - Physics (Hons),2,2016,Summer,2,2
